model,shape,size,dimensions,height,top,notes,price
Angel,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,11170
Angel,Rectangular,M,220 x 110  ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,12850
Angel,Rectangular,L,250 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,14770
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,18470
Angel,Rectangular,S,190 x 100,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,14630
Angel,Rectangular,M,220 x 110  ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,16830
Angel,Rectangular,L,250 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,19350
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,24190
Angel,Round,S,100 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,4930
Angel,Round,M,120 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,5670
Angel,Round,L,150 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,7090
Angel,Round,XL,170 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,8150
Angel,Round,S,100 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,7150
Angel,Round,M,120 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,8230
Angel,Round,L,150 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,11280
Angel,Round,XL,170 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,11820
Angel,Round,S,100 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,9370
Angel,Round,M,120 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,10780
Angel,Round,L,150 D ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,13470
Angel,Round,XL,170 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1330,15490
Ariel,Round,S,100 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,4930
Ariel,Round,M,120 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,5670
Ariel,Round,L,150 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,7090
Ariel,Round,XL,170 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,8150
Ariel,Round,S,100 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,7150
Ariel,Round,M,120 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,8230
Ariel,Round,L,150 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,10280
Ariel,Round,XL,170 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,11820
Ariel,Round,S,100 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,9370
Ariel,Round,M,120 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,10780
Ariel,Round,L,150 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,13470
Ariel,Round,XL,170 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1330,15490
Atlantic,Rectangular,S,190x100,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",5010
Atlantic,Rectangular,M,220x100,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",6010
Atlantic,Rectangular,L,250 x 120,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",7010
Atlantic,Rectangular,XL,300 x 110 ,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",8010
Atlantic,Round,M,120 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4010
Atlantic,Round,L,150 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4710
Atlantic,Round,XL,170 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",5570
AVA glass top,Round,S,100 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1200 Additional cost for base made in bronze: 4960 glass bonded to a bronze plate ",5250
AVA glass top,Round,M,120 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1200 Additional cost for base made in bronze: 4960 glass bonded to a bronze plate ",6040
AVA glass top,Round,L,150 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1200 Additional cost for base made in bronze: 4960 glass bonded to a bronze plate ",7550
AVA glass top,Round,XL,170 D ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1200 Additional cost for base made in bronze: 4960 glass bonded to a bronze plate ",8680
AVA stone,Round,S,100 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,9980
AVA stone,Round,M,120 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,11470
AVA stone,Round,L,150 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,14340
AVA stone,Round,XL,170 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,16490
AVA wood,Round,S,100 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,7610
AVA wood,Round,M,120 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,8760
AVA wood,Round,L,150 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,10940
AVA wood,Round,XL,170 D ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1200 Additional cost for base made in bronze: 4960,12580
Avalon glass top,Rectangular,S,190 x 100 ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1910 Additional cost for base in bronze: 6620 glass bonded to a bronze plate ",7160
Avalon glass top,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1910 Additional cost for base in bronze: 6620 glass bonded to a bronze plate ",7720
Avalon glass top,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1910 Additional cost for base in bronze: 6620 glass bonded to a bronze plate ",9240
Avalon glass top,Rectangular,XL,300 x 110,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1910 Additional cost for base in bronze: 6620 glass bonded to a bronze plate ",11000
