model,shape,size,dimensions,height,top,notes,price
Angel,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,7030
Angel,Rectangular,M,220 x 110  ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,8090
Angel,Rectangular,L,250 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,9290
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,11620
Angel,Rectangular,S,190 x 100,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,9210
Angel,Rectangular,M,220 x 110  ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,10590
Angel,Rectangular,L,250 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,12170
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,15220
Angel,Round,S,100 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,3110
Angel,Round,M,120 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,3570
Angel,Round,L,150 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,4460
Angel,Round,XL,170 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,5130
Angel,Round,S,100 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,4500
Angel,Round,M,120 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,5180
Angel,Round,L,150 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,7100
Angel,Round,XL,170 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,7440
Angel,Round,S,100 D,CMs (H75),Marble top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,5900
Angel,Round,M,120 D,CMs (H75),Marble top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,6780
Angel,Round,L,150 D ,CMs (H75),Marble top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,8480
Angel,Round,XL,170 D ,CMs (H75),Marble top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 840,9750
Ariel,Round,S,100 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,3110
Ariel,Round,M,120 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,3570
Ariel,Round,L,150 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,4460
Ariel,Round,XL,170 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,5130
Ariel,Round,S,100 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,4500
Ariel,Round,M,120 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,5180
Ariel,Round,L,150 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,6470
Ariel,Round,XL,170 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,7440
Ariel,Round,S,100 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,5900
Ariel,Round,M,120 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,6780
Ariel,Round,L,150 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,8480
Ariel,Round,XL,170 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 840,9750
Atlantic,Rectangular,S,190x100,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",3160
Atlantic,Rectangular,M,220x100,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",3780
Atlantic,Rectangular,L,250 x 120,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4410
Atlantic,Rectangular,XL,300 x 110 ,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",5040
Atlantic,Round,M,120 D,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",2530
Atlantic,Round,L,150 D,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",2970
Atlantic,Round,XL,170 D ,CMs (H75),Wood top *,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",3510
AVA glass top,Round,S,100 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 760 Additional cost for base made in bronze: 3130 glass bonded to a bronze plate ",3310
AVA glass top,Round,M,120 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 760 Additional cost for base made in bronze: 3130 glass bonded to a bronze plate ",3800
AVA glass top,Round,L,150 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 760 Additional cost for base made in bronze: 3130 glass bonded to a bronze plate ",4750
AVA glass top,Round,XL,170 D ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 760 Additional cost for base made in bronze: 3130 glass bonded to a bronze plate ",5460
AVA stone,Round,S,100 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,6280
AVA stone,Round,M,120 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,7220
AVA stone,Round,L,150 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,9020
AVA stone,Round,XL,170 D ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,10380
AVA wood,Round,S,100 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,4790
AVA wood,Round,M,120 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,5510
AVA wood,Round,L,150 D,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,6890
AVA wood,Round,XL,170 D ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 760 Additional cost for base made in bronze: 3130,7920
Avalon glass top,Rectangular,S,190 x 100,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1210 Additional cost for base in bronze: 4170 glass bonded to a bronze plate ",4510
Avalon glass top,Rectangular,M,220 x 100  ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1210 Additional cost for base in bronze: 4170 glass bonded to a bronze plate ",4860
Avalon glass top,Rectangular,L,250 x 100 ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1210 Additional cost for base in bronze: 4170 glass bonded to a bronze plate ",5820
Avalon glass top,Rectangular,XL,300 x 110,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1210 Additional cost for base in bronze: 4170 glass bonded to a bronze plate ",6920
