model,shape,size,dimensions,height,top,notes,price
Angel,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,12800
Angel,Rectangular,M,220 x 110  ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,14730
Angel,Rectangular,L,250 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,16930
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,21170
Angel,Rectangular,S,190 x 100,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,16770
Angel,Rectangular,M,220 x 110  ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,19290
Angel,Rectangular,L,250 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,22170
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,27720
Angel,Round,S,100 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,5650
Angel,Round,M,120 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,6500
Angel,Round,L,150 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,8130
Angel,Round,XL,170 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,9340
Angel,Round,S,100 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,8200
Angel,Round,M,120 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,9430
Angel,Round,L,150 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,12930
Angel,Round,XL,170 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,13550
Angel,Round,S,100 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,10740
Angel,Round,M,120 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,12360
Angel,Round,L,150 D ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,15440
Angel,Round,XL,170 D ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 1530,17750
Ariel glass top,Round,S,100 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,5650
Ariel glass top,Round,M,120 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,6500
Ariel glass top,Round,L,150 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,8130
Ariel glass top,Round,XL,170 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,9340
Ariel glass top,Round,S,100 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,8200
Ariel glass top,Round,M,120 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,9430
Ariel glass top,Round,L,150 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,11780
Ariel glass top,Round,XL,170 D,CMs (H75),Wood Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,13550
Ariel glass top,Round,S,100 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,10740
Ariel glass top,Round,M,120 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,12360
Ariel glass top,Round,L,150 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,15440
Ariel glass top,Round,XL,170 D,CMs (H75),Marble Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 1530,17750
Atlantic,Rectangular,S,190 x 100,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",5750
Atlantic,Rectangular,M,220 x 100,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",6890
Atlantic,Rectangular,L,250 x 120,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",8040
Atlantic,Rectangular,XL,300 x 110 ,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",9180
Atlantic,Round,M,120 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",4600
Atlantic,Round,L,150 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",5400
Atlantic,Round,XL,170 D,CMs (H75),Wood top*,"Prices above are for a steel base with a standard finish  *Birch ply with Fenix veneer, and walnut lipping ",6390
AVA glass top,Round,S,100 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base made in bronze: 5690 glass bonded to a bronze plate ",6020
AVA glass top,Round,M,120 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base made in bronze: 5690 glass bonded to a bronze plate ",6930
AVA glass top,Round,L,150 D,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base made in bronze: 5690 glass bonded to a bronze plate ",8660
AVA glass top,Round,XL,170 D ,CMs (H75),Glass Top,"Prices above are for a steel base with a standard finish & UV bonded top  glass bonded to a stainless steel, bronze or brass plate  Additional cost for base in a specialist finish: 1380 Additional cost for base made in bronze: 5690 glass bonded to a bronze plate ",9950
AVA stone,Round,S,100 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1380 Additional cost for base made in bronze: 5690,11440
AVA stone,Round,M,120 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1380 Additional cost for base made in bronze: 5690,13150
AVA stone,Round,L,150 D,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1380 Additional cost for base made in bronze: 5690,16430
AVA stone,Round,XL,170 D ,CMs (H75),Marble Top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish  Additional cost for base in specialist finish: 1380 Additional cost for base made in bronze: 5690,18900
