model,shape,size,dimensions,height,top,notes,price
Angel,Rectangular,S,190 x 100,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,9600
Angel,Rectangular,M,220 x 110  ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,11050
Angel,Rectangular,L,250 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,12700
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Wood Top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,15880
Angel,Rectangular,S,190 x 100,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,12580
Angel,Rectangular,M,220 x 110  ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,14470
Angel,Rectangular,L,250 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,16630
Angel,Rectangular,XL,300 x 120 ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,20790
Angel,Round,S,100 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,4240
Angel,Round,M,120 D,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,4880
Angel,Round,L,150 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,6100
Angel,Round,XL,170 D ,CMs (H75),Glass top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,7010
Angel,Round,S,100 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,6150
Angel,Round,M,120 D,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,7080
Angel,Round,L,150 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,9700
Angel,Round,XL,170 D ,CMs (H75),Wood top,Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,10160
Angel,Round,S,100 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,8060
Angel,Round,M,120 D,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,9270
Angel,Round,L,150 D ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,11580
Angel,Round,XL,170 D ,CMs (H75),Marble top (excluding Calacatta Oro/Limurian Blue),Prices above are with a steel base with a standard finish.  Additional cost for base in a specialist finish: 960,13320
Ariel,Round,S,100 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,4240
Ariel,Round,M,120 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,4880
Ariel,Round,L,150 D,CMs (H75),Glass Top,Prices above are for a steel base with a standard finish  Additional cost for base in a specialist finish: 960,6100
